type,type,site,task,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
n400,nonwords,CPZ,ldt,579,604,512,588,570,513,514,573,534,547,536,589,591,625,562,621,611,549
n400,nonwords,CZ,ldt,581,604,506,590,569,512,517,573,533,547,536,589,591,624,562,620,611,549
n400,nonwords,FCZ,ldt,583,596,506,566,559,487,618,636,519,538,569,589,498,612,546,610,567,554
n400,nonwords,FZ,ldt,593,595,507,574,617,487,619,636,534,538,611,590,501,621,546,611,567,555
n400,nonwords,PZ,ldt,584,588,506,497,558,489,619,638,533,538,554,607,492,614,567,580,589,555
n400,unrelated,CPZ,ldt,499,574,518,605,540,646,485,559,513,541,605,541,500,638,551,584,523,518
n400,unrelated,CZ,ldt,500,575,523,586,539,647,485,560,512,541,566,541,500,639,590,583,521,517
n400,unrelated,FCZ,ldt,580,576,507,607,532,540,499,519,513,626,607,525,617,635,573,585,626,517
n400,unrelated,FZ,ldt,580,590,505,597,532,540,499,519,512,543,566,587,619,637,573,586,551,517
n400,unrelated,PZ,ldt,581,574,520,625,532,540,501,620,518,562,606,626,624,633,573,585,552,518
n400,associative,CPZ,ldt,523,543,598,487,514,588,550,636,501,573,557,611,583,552,513,519,545,510
n400,associative,CZ,ldt,523,542,585,486,514,586,550,637,502,575,557,611,476,629,513,520,545,509
n400,associative,FCZ,ldt,518,536,522,601,646,564,558,586,504,591,559,585,603,536,564,526,514,542
n400,associative,FZ,ldt,513,536,594,601,590,563,556,583,503,580,559,586,605,648,564,520,584,543
n400,associative,PZ,ldt,515,540,522,602,499,535,556,587,507,582,561,599,603,543,607,521,508,541
n400,semantic,CPZ,ldt,522,635,510,508,481,477,449,597,498,556,478,648,604,602,477,545,576,557
n400,semantic,CZ,ldt,522,634,472,503,480,477,449,602,498,556,622,648,603,602,506,544,610,472
n400,semantic,FCZ,ldt,553,644,491,584,616,511,449,530,504,546,470,623,628,501,497,542,581,471
n400,semantic,FZ,ldt,553,644,480,584,616,510,449,530,579,546,468,623,630,500,605,542,581,471
n400,semantic,PZ,ldt,589,643,518,584,459,510,449,510,506,545,470,623,646,585,497,545,581,469
n400,nonwords,CPZ,lst,496,533,505,588,563,557,555,535,587,567,498,614,616,546,592,547,611,
n400,nonwords,CZ,lst,496,534,508,588,561,562,556,535,588,574,499,614,618,585,591,620,611,
n400,nonwords,FCZ,lst,491,623,507,570,596,540,555,648,584,563,548,615,544,587,595,548,567,
n400,nonwords,FZ,lst,491,624,513,488,596,540,555,648,584,563,497,616,537,587,595,548,567,
n400,nonwords,PZ,lst,492,561,512,570,595,562,556,648,585,561,496,619,615,554,518,548,589,
n400,unrelated,CPZ,lst,556,520,508,479,549,515,577,555,596,591,502,576,590,512,579,570,523,
n400,unrelated,CZ,lst,556,530,501,479,554,570,576,555,597,591,504,580,591,512,578,573,521,
n400,unrelated,FCZ,lst,556,623,513,648,594,644,537,623,606,546,500,550,554,544,565,520,626,
n400,unrelated,FZ,lst,535,631,585,648,594,643,535,623,606,545,501,539,510,544,565,521,551,
n400,unrelated,PZ,lst,534,583,514,607,594,643,537,569,604,545,487,550,579,577,525,521,552,
n400,associative,CPZ,lst,503,474,506,497,552,550,483,627,498,545,520,493,594,484,550,568,545,
n400,associative,CZ,lst,503,526,507,498,552,617,483,627,498,546,468,490,588,483,550,519,545,
n400,associative,FCZ,lst,475,524,511,495,522,615,648,587,515,552,468,644,587,603,590,542,514,
n400,associative,FZ,lst,610,523,511,495,524,616,648,592,516,552,467,639,584,603,590,540,584,
n400,associative,PZ,lst,489,472,507,499,531,543,648,585,516,555,519,562,593,496,551,587,508,
n400,semantic,CPZ,lst,566,510,515,573,505,492,560,589,501,574,485,463,532,510,490,509,576,
n400,semantic,CZ,lst,565,510,505,570,505,492,466,589,501,575,487,463,530,510,490,617,610,
n400,semantic,FCZ,lst,565,511,517,597,510,503,574,612,494,556,482,618,512,541,562,530,581,
n400,semantic,FZ,lst,565,509,519,478,510,502,577,515,493,556,482,618,503,542,568,531,581,
n400,semantic,PZ,lst,550,507,521,597,511,501,577,612,508,556,476,482,587,534,561,496,581,
